date,content,source,url
2025-04-07 04:15:44,"Trump's ""Liberation Day"" Tariffs Pummel the ""Magnificent Seven."" Are These.... In fact, this group of tech giants that ledmarketgains over the past two years is now leading...",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTaYdPNn778jq0bQtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1744037144/RO=10/RU=https%3a%2f%2fwww.fool.com%2finvesting%2f2025%2f04%2f06%2ftrumps-liberation-day-tariffs-pummel-magnificent-7%2f/RK=2/RS=VCkMOZ2NPwlfJjANfkhUwjmUNEk-
2025-04-07 02:15:01,"Is Microsoft Corporation (MSFT) the Best Beginner Stock?. We recently published a list of StarterStockPortfolio 12 Safe Stocks to Buy. In this article, we...",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTZtdPNnHPQjiB3QtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1744037101/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fmicrosoft-corporation-msft-best-beginner-204202801.html%3ffr%3dsycsrp_catchall/RK=2/RS=9gklONZw6qPKx748D62lRnmhbr0-
2025-04-07 01:15:19,"With The S&P 500 (VOO) In Free Fall, Will Tomorrow April 7th Be A Second Black.... This post may contain links from our sponsors and affiliates, and Flywheel Publishing may receive...",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTZ.dPNnkZEj5mfQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1744037118/RO=10/RU=https%3a%2f%2f247wallst.com%2finvesting%2f2025%2f04%2f06%2fwith-the-sp-500-voo-in-free-fall-will-tomorrow-april-7th-be-a-second-black-monday%2f/RK=2/RS=HmfdG.h_f9D80AuYkNTLZ25IaAI-
2025-04-06 15:16:03,"What To Expect in the Markets This Week. Coming up: U.S. and China tariffs set to take effect, March inflation data, Big Bank earnings, consumer sentiment, Fed meeting minutes, consumer credit...",Yahoo Finance,https://r.search.yahoo.com/_ylt=Awr9_YqqdPNnjQwjTdbQtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1744037162/RO=10/RU=https%3a%2f%2fwww.investopedia.com%2fwhat-to-expect-in-the-markets-this-week-11708734/RK=2/RS=tvHYykwIe_O5xg_xqsyhuMV0pWk-
2025-04-06 12:15:16,"Don’t Panic: Follow This Plan When the Market Tanks. Editor’s Note: President Donald Trump’s tariffs are causing a continuous selloff in the stock market. Today, Brian highlights one of America’s greatest...",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTZ7dPNnuv4jZhLQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1744037115/RO=10/RU=https%3a%2f%2finvestorplace.com%2fsmartmoney%2f2025%2f04%2fdont-panic-follow-plan-market-tanks%2f/RK=2/RS=k2JuirACnu7PRx1H5f9TSatt8wE-
2025-04-06 12:15:09,"Quattro Financial Advisors LLC Increases Position in Microsoft Co. (NASDAQ:MSFT). Quattro Financial Advisors LLC boosted its holdings in Microsoft Co. (NASDAQ:MSFT – Free Report) by 10.5% in the fourth quarter, Holdings Channel reports. The firm owned 105,020 shares of the ...",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTZ0dPNnbm4jnnXQtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1744037108/RO=10/RU=https%3a%2f%2fwww.etfdailynews.com%2f2025%2f04%2f06%2fquattro-financial-advisors-llc-increases-position-in-microsoft-co-nasdaqmsft%2f/RK=2/RS=XmwdUnJqMqLQ6v8BW719U7HITpc-
2025-04-06 12:15:09,"Microsoft Co. (NASDAQ:MSFT) Shares Acquired by Appleton Partners Inc. MA. Appleton Partners Inc. MA grew its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.2% during the fourth quarter, according to the company in its most recent 13F filing with the SEC.",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTZ0dPNnbm4jkHXQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1744037108/RO=10/RU=https%3a%2f%2fwww.etfdailynews.com%2f2025%2f04%2f06%2fmicrosoft-co-nasdaqmsft-shares-acquired-by-appleton-partners-inc-ma%2f/RK=2/RS=qrj5jD25bO.Nj4rZ0OEmX053_.s-
2025-04-06 12:15:09,"Microsoft Co. (NASDAQ:MSFT) Shares Sold by NatWest Group plc. NatWest Group plc lessened its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 19.8% during the 4th quarter, Holdings Channel.com reports. The institutional investor owned 31,557 shares ...",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTZ0dPNnbm4jj3XQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1744037108/RO=10/RU=https%3a%2f%2fwww.etfdailynews.com%2f2025%2f04%2f06%2fmicrosoft-co-nasdaqmsft-shares-sold-by-natwest-group-plc%2f/RK=2/RS=S1nFUIgh0xcPb1P3W9CtRQaCj_4-
2025-04-06 12:15:05,"Seamount Financial Group Inc. Grows Holdings in Microsoft Co. (NASDAQ:MSFT). Seamount Financial Group Inc. lifted its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.8% during the fourth quarter, HoldingsChannel reports. The firm owned 5,765 shares of the software ...",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTZxdPNnReIjMSrQtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1744037105/RO=10/RU=https%3a%2f%2fwww.etfdailynews.com%2f2025%2f04%2f06%2fseamount-financial-group-inc-grows-holdings-in-microsoft-co-nasdaqmsft%2f/RK=2/RS=qpru7Yi.2H85ueS3nYF42ctEncY-
2025-04-06 12:15:05,"Shepherd Financial Partners LLC Purchases 853 Shares of Microsoft Co..... Shepherd Financial Partners LLC lifted its position in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.4% in the 4th quarter, HoldingsChannel reports. The institutional investor owned ...",Yahoo Finance,https://r.search.yahoo.com/_ylt=AwrjfTZxdPNnReIjLirQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1744037105/RO=10/RU=https%3a%2f%2fwww.etfdailynews.com%2f2025%2f04%2f06%2fshepherd-financial-partners-llc-purchases-853-shares-of-microsoft-co-nasdaqmsft%2f/RK=2/RS=Qqp0WGhS6Qe_LLAEoEcRY_2IYBU-
